1000, 0.01827, 0.005
2000, 0.00798, 0.005
3000, 0.00667, 0.005
4000, 0.00583, 0.005
5000, 0.00517, 0.005
6000, 0.00473, 0.005
7000, 0.00443, 0.005
8000, 0.00405, 0.005
9000, 0.00383, 0.005
10000, 0.00355, 0.005
