pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt1_cam3_X,pt1_cam3_Y,pt1_cam4_X,pt1_cam4_Y
332.094183,60.881478,529.328143,331.594450,295.650105,293.428777,113.323081,186.860791
386.556523,718.702266,585.088149,24.869957,686.253494,316.550292,469.273650,304.038857
254.570957,256.310734,593.940980,782.425030,212.899693,363.269948,377.591690,265.335788
128.179771,68.706009,782.484256,337.664358,291.999063,492.263299,77.614322,292.977826
