1000, 0.02034, 0.005
2000, 0.01131, 0.005
3000, 0.00951, 0.005
4000, 0.00843, 0.005
5000, 0.00764, 0.005
6000, 0.00724, 0.005
7000, 0.00718, 0.005
8000, 0.00660, 0.005
9000, 0.00648, 0.005
10000, 0.00620, 0.005
11000, 0.00967, 0.02
12000, 0.00834, 0.02
13000, 0.00760, 0.02
14000, 0.00700, 0.02
15000, 0.00664, 0.02
16000, 0.00629, 0.02
17000, 0.00619, 0.02
18000, 0.00621, 0.02
19000, 0.00599, 0.02
20000, 0.00577, 0.02
21000, 0.00562, 0.02
22000, 0.00539, 0.02
23000, 0.00521, 0.02
24000, 0.00489, 0.02
25000, 0.00521, 0.02
26000, 0.00477, 0.02
27000, 0.00485, 0.02
28000, 0.00491, 0.02
29000, 0.00497, 0.02
30000, 0.00499, 0.02
31000, 0.00469, 0.02
32000, 0.00456, 0.02
33000, 0.00433, 0.02
34000, 0.00433, 0.02
35000, 0.00440, 0.02
36000, 0.00456, 0.02
37000, 0.00434, 0.02
38000, 0.00435, 0.02
39000, 0.00423, 0.02
40000, 0.00417, 0.02
41000, 0.00408, 0.02
42000, 0.00406, 0.02
43000, 0.00426, 0.02
44000, 0.00400, 0.02
45000, 0.00392, 0.02
46000, 0.00397, 0.02
47000, 0.00389, 0.02
48000, 0.00383, 0.02
49000, 0.00392, 0.02
50000, 0.00401, 0.02
51000, 0.00394, 0.02
52000, 0.00384, 0.02
53000, 0.00379, 0.02
54000, 0.00379, 0.02
55000, 0.00392, 0.02
56000, 0.00398, 0.02
57000, 0.00370, 0.02
58000, 0.00374, 0.02
59000, 0.00391, 0.02
60000, 0.00357, 0.02
61000, 0.00382, 0.02
62000, 0.00361, 0.02
63000, 0.00369, 0.02
64000, 0.00343, 0.02
65000, 0.00359, 0.02
66000, 0.00353, 0.02
67000, 0.00355, 0.02
68000, 0.00351, 0.02
69000, 0.00336, 0.02
70000, 0.00350, 0.02
71000, 0.00334, 0.02
72000, 0.00343, 0.02
73000, 0.00325, 0.02
74000, 0.00342, 0.02
75000, 0.00330, 0.02
76000, 0.00364, 0.02
77000, 0.00352, 0.02
78000, 0.00323, 0.02
79000, 0.00351, 0.02
80000, 0.00332, 0.02
81000, 0.00326, 0.02
82000, 0.00349, 0.02
83000, 0.00328, 0.02
84000, 0.00321, 0.02
85000, 0.00331, 0.02
86000, 0.00349, 0.02
87000, 0.00338, 0.02
88000, 0.00332, 0.02
89000, 0.00344, 0.02
90000, 0.00343, 0.02
91000, 0.00330, 0.02
92000, 0.00329, 0.02
93000, 0.00328, 0.02
94000, 0.00315, 0.02
95000, 0.00318, 0.02
96000, 0.00328, 0.02
97000, 0.00342, 0.02
98000, 0.00322, 0.02
99000, 0.00328, 0.02
100000, 0.00330, 0.02
