2024-10-03 10:36:51 - GPU Memory: 21242 MB, CPU Usage: 4.6%, RAM Usage: 30210 MB / 1030999 MB
2024-10-03 10:36:56 - GPU Memory: 21242 MB, CPU Usage: 4.5%, RAM Usage: 30195 MB / 1030999 MB
2024-10-03 10:37:01 - GPU Memory: 21242 MB, CPU Usage: 11.2%, RAM Usage: 31212 MB / 1030999 MB
2024-10-03 10:37:06 - GPU Memory: 21242 MB, CPU Usage: 14.6%, RAM Usage: 31384 MB / 1030999 MB
2024-10-03 10:37:12 - GPU Memory: 21242 MB, CPU Usage: 22.8%, RAM Usage: 31747 MB / 1030999 MB
2024-10-03 10:37:17 - GPU Memory: 21242 MB, CPU Usage: 18.4%, RAM Usage: 31710 MB / 1030999 MB
2024-10-03 10:37:22 - GPU Memory: 21242 MB, CPU Usage: 17.6%, RAM Usage: 26582 MB / 1030999 MB
2024-10-03 10:37:27 - GPU Memory: 21242 MB, CPU Usage: 15.4%, RAM Usage: 26580 MB / 1030999 MB
2024-10-03 10:37:33 - GPU Memory: 21242 MB, CPU Usage: 15.8%, RAM Usage: 26549 MB / 1030999 MB
2024-10-03 10:37:38 - GPU Memory: 21242 MB, CPU Usage: 17.7%, RAM Usage: 26525 MB / 1030999 MB
2024-10-03 10:37:43 - GPU Memory: 21242 MB, CPU Usage: 17.9%, RAM Usage: 26485 MB / 1030999 MB
2024-10-03 10:37:48 - GPU Memory: 21242 MB, CPU Usage: 5%, RAM Usage: 26337 MB / 1030999 MB
2024-10-03 10:37:54 - GPU Memory: 21242 MB, CPU Usage: 17.8%, RAM Usage: 26469 MB / 1030999 MB
2024-10-03 10:37:59 - GPU Memory: 21242 MB, CPU Usage: 9.5%, RAM Usage: 26436 MB / 1030999 MB
2024-10-03 10:38:04 - GPU Memory: 21242 MB, CPU Usage: 19.5%, RAM Usage: 26424 MB / 1030999 MB
2024-10-03 10:38:09 - GPU Memory: 21242 MB, CPU Usage: 3.1%, RAM Usage: 26302 MB / 1030999 MB
2024-10-03 10:38:14 - GPU Memory: 21242 MB, CPU Usage: 18.9%, RAM Usage: 26442 MB / 1030999 MB
2024-10-03 10:38:20 - GPU Memory: 21242 MB, CPU Usage: 10.8%, RAM Usage: 26242 MB / 1030999 MB
2024-10-03 10:38:25 - GPU Memory: 21242 MB, CPU Usage: 9.7%, RAM Usage: 26208 MB / 1030999 MB
2024-10-03 10:38:30 - GPU Memory: 21242 MB, CPU Usage: 4.2%, RAM Usage: 26340 MB / 1030999 MB
2024-10-03 10:38:35 - GPU Memory: 21242 MB, CPU Usage: 16.4%, RAM Usage: 26427 MB / 1030999 MB
2024-10-03 10:38:41 - GPU Memory: 21242 MB, CPU Usage: 17.8%, RAM Usage: 26422 MB / 1030999 MB
2024-10-03 10:38:46 - GPU Memory: 21242 MB, CPU Usage: 14.9%, RAM Usage: 26436 MB / 1030999 MB
2024-10-03 10:38:51 - GPU Memory: 21242 MB, CPU Usage: 9%, RAM Usage: 26218 MB / 1030999 MB
2024-10-03 10:38:56 - GPU Memory: 21242 MB, CPU Usage: 7.1%, RAM Usage: 26248 MB / 1030999 MB
2024-10-03 10:39:02 - GPU Memory: 21242 MB, CPU Usage: 13%, RAM Usage: 26400 MB / 1030999 MB
2024-10-03 10:39:07 - GPU Memory: 21242 MB, CPU Usage: 18.5%, RAM Usage: 26394 MB / 1030999 MB
2024-10-03 10:39:12 - GPU Memory: 21242 MB, CPU Usage: 16.4%, RAM Usage: 26407 MB / 1030999 MB
