2024-09-27 12:05:34 - GPU Memory: 1066 MB, CPU Usage: 2.9%, RAM Usage: 18908 MB / 64254 MB
2024-09-27 12:05:39 - GPU Memory: 1066 MB, CPU Usage: 2.9%, RAM Usage: 18912 MB / 64254 MB
2024-09-27 12:05:44 - GPU Memory: 1082 MB, CPU Usage: 2.9%, RAM Usage: 18939 MB / 64254 MB
2024-09-27 12:05:50 - GPU Memory: 1068 MB, CPU Usage: 2.9%, RAM Usage: 18836 MB / 64254 MB
2024-09-27 12:05:55 - GPU Memory: 1064 MB, CPU Usage: 2.9%, RAM Usage: 18909 MB / 64254 MB
2024-09-27 12:06:00 - GPU Memory: 1096 MB, CPU Usage: 2.9%, RAM Usage: 18946 MB / 64254 MB
2024-09-27 12:06:05 - GPU Memory: 1071 MB, CPU Usage: 2.9%, RAM Usage: 18910 MB / 64254 MB
2024-09-27 12:06:11 - GPU Memory: 1071 MB, CPU Usage: 2.9%, RAM Usage: 18743 MB / 64254 MB
2024-09-27 12:06:16 - GPU Memory: 1119 MB, CPU Usage: 2.9%, RAM Usage: 18934 MB / 64254 MB
2024-09-27 12:06:21 - GPU Memory: 1080 MB, CPU Usage: 2.9%, RAM Usage: 18906 MB / 64254 MB
2024-09-27 12:06:26 - GPU Memory: 1081 MB, CPU Usage: 2.9%, RAM Usage: 18914 MB / 64254 MB
2024-09-27 12:06:31 - GPU Memory: 1081 MB, CPU Usage: 2.9%, RAM Usage: 18910 MB / 64254 MB
2024-09-27 12:06:37 - GPU Memory: 1081 MB, CPU Usage: 2.9%, RAM Usage: 18912 MB / 64254 MB
2024-09-27 12:06:42 - GPU Memory: 1088 MB, CPU Usage: 2.9%, RAM Usage: 18922 MB / 64254 MB
2024-09-27 12:06:47 - GPU Memory: 1088 MB, CPU Usage: 2.9%, RAM Usage: 18921 MB / 64254 MB
2024-09-27 12:06:52 - GPU Memory: 1095 MB, CPU Usage: 2.9%, RAM Usage: 18907 MB / 64254 MB
2024-09-27 12:06:57 - GPU Memory: 1088 MB, CPU Usage: 2.9%, RAM Usage: 18917 MB / 64254 MB
2024-09-27 12:07:03 - GPU Memory: 1087 MB, CPU Usage: 2.9%, RAM Usage: 18926 MB / 64254 MB
2024-09-27 12:07:08 - GPU Memory: 1087 MB, CPU Usage: 2.9%, RAM Usage: 18915 MB / 64254 MB
2024-09-27 12:07:13 - GPU Memory: 1087 MB, CPU Usage: 2.9%, RAM Usage: 18913 MB / 64254 MB
2024-09-27 12:07:18 - GPU Memory: 1104 MB, CPU Usage: 2.9%, RAM Usage: 18761 MB / 64254 MB
2024-09-27 12:07:24 - GPU Memory: 1105 MB, CPU Usage: 2.9%, RAM Usage: 18922 MB / 64254 MB
2024-09-27 12:07:29 - GPU Memory: 1095 MB, CPU Usage: 2.9%, RAM Usage: 18930 MB / 64254 MB
2024-09-27 12:07:34 - GPU Memory: 1094 MB, CPU Usage: 2.9%, RAM Usage: 18915 MB / 64254 MB
2024-09-27 12:07:39 - GPU Memory: 1089 MB, CPU Usage: 2.9%, RAM Usage: 18963 MB / 64254 MB
2024-09-27 12:07:44 - GPU Memory: 1090 MB, CPU Usage: 2.9%, RAM Usage: 18931 MB / 64254 MB
2024-09-27 12:07:50 - GPU Memory: 1090 MB, CPU Usage: 2.9%, RAM Usage: 18778 MB / 64254 MB
2024-09-27 12:07:55 - GPU Memory: 1089 MB, CPU Usage: 2.9%, RAM Usage: 18892 MB / 64254 MB
2024-09-27 12:08:00 - GPU Memory: 1113 MB, CPU Usage: 2.9%, RAM Usage: 18974 MB / 64254 MB
2024-09-27 12:08:05 - GPU Memory: 1108 MB, CPU Usage: 2.9%, RAM Usage: 18965 MB / 64254 MB
2024-09-27 12:08:10 - GPU Memory: 1112 MB, CPU Usage: 2.9%, RAM Usage: 18952 MB / 64254 MB
2024-09-27 12:08:16 - GPU Memory: 1103 MB, CPU Usage: 2.9%, RAM Usage: 18945 MB / 64254 MB
2024-09-27 12:08:21 - GPU Memory: 1101 MB, CPU Usage: 2.9%, RAM Usage: 18943 MB / 64254 MB
2024-09-27 12:08:26 - GPU Memory: 1089 MB, CPU Usage: 2.9%, RAM Usage: 18939 MB / 64254 MB
2024-09-27 12:08:31 - GPU Memory: 1090 MB, CPU Usage: 2.9%, RAM Usage: 18939 MB / 64254 MB
2024-09-27 12:08:37 - GPU Memory: 1090 MB, CPU Usage: 2.9%, RAM Usage: 18934 MB / 64254 MB
2024-09-27 12:08:42 - GPU Memory: 1089 MB, CPU Usage: 2.9%, RAM Usage: 18934 MB / 64254 MB
2024-09-27 12:08:47 - GPU Memory: 1088 MB, CPU Usage: 2.9%, RAM Usage: 18936 MB / 64254 MB
2024-09-27 12:08:52 - GPU Memory: 1089 MB, CPU Usage: 2.9%, RAM Usage: 18910 MB / 64254 MB
2024-09-27 12:08:57 - GPU Memory: 1089 MB, CPU Usage: 2.9%, RAM Usage: 18910 MB / 64254 MB
2024-09-27 12:09:03 - GPU Memory: 1087 MB, CPU Usage: 2.9%, RAM Usage: 18908 MB / 64254 MB
2024-09-27 12:09:08 - GPU Memory: 1114 MB, CPU Usage: 2.9%, RAM Usage: 18928 MB / 64254 MB
2024-09-27 12:09:13 - GPU Memory: 1088 MB, CPU Usage: 2.9%, RAM Usage: 18921 MB / 64254 MB
2024-09-27 12:09:18 - GPU Memory: 1088 MB, CPU Usage: 2.9%, RAM Usage: 18892 MB / 64254 MB
2024-09-27 12:09:24 - GPU Memory: 1087 MB, CPU Usage: 2.9%, RAM Usage: 18899 MB / 64254 MB
2024-09-27 12:09:29 - GPU Memory: 1102 MB, CPU Usage: 2.9%, RAM Usage: 18899 MB / 64254 MB
2024-09-27 12:09:34 - GPU Memory: 1120 MB, CPU Usage: 2.9%, RAM Usage: 18934 MB / 64254 MB
2024-09-27 12:09:39 - GPU Memory: 1092 MB, CPU Usage: 2.9%, RAM Usage: 18909 MB / 64254 MB
2024-09-27 12:09:44 - GPU Memory: 1101 MB, CPU Usage: 2.9%, RAM Usage: 19020 MB / 64254 MB
2024-09-27 12:09:50 - GPU Memory: 1100 MB, CPU Usage: 2.9%, RAM Usage: 19083 MB / 64254 MB
2024-09-27 12:09:55 - GPU Memory: 1108 MB, CPU Usage: 2.9%, RAM Usage: 18863 MB / 64254 MB
2024-09-27 12:10:00 - GPU Memory: 1148 MB, CPU Usage: 2.9%, RAM Usage: 19107 MB / 64254 MB
2024-09-27 12:10:05 - GPU Memory: 1089 MB, CPU Usage: 2.9%, RAM Usage: 19100 MB / 64254 MB
2024-09-27 12:10:11 - GPU Memory: 1085 MB, CPU Usage: 2.9%, RAM Usage: 19100 MB / 64254 MB
2024-09-27 12:10:16 - GPU Memory: 1123 MB, CPU Usage: 2.9%, RAM Usage: 19100 MB / 64254 MB
2024-09-27 12:10:21 - GPU Memory: 1088 MB, CPU Usage: 2.9%, RAM Usage: 19096 MB / 64254 MB
2024-09-27 12:10:26 - GPU Memory: 1089 MB, CPU Usage: 2.9%, RAM Usage: 19087 MB / 64254 MB
2024-09-27 12:10:31 - GPU Memory: 1084 MB, CPU Usage: 2.9%, RAM Usage: 19092 MB / 64254 MB
2024-09-27 12:10:37 - GPU Memory: 1083 MB, CPU Usage: 2.9%, RAM Usage: 19090 MB / 64254 MB
2024-09-27 12:10:42 - GPU Memory: 1084 MB, CPU Usage: 2.9%, RAM Usage: 19093 MB / 64254 MB
2024-09-27 12:10:47 - GPU Memory: 1084 MB, CPU Usage: 2.9%, RAM Usage: 19024 MB / 64254 MB
2024-09-27 12:10:52 - GPU Memory: 1084 MB, CPU Usage: 2.9%, RAM Usage: 19092 MB / 64254 MB
2024-09-27 12:10:58 - GPU Memory: 1061 MB, CPU Usage: 2.9%, RAM Usage: 19153 MB / 64254 MB
2024-09-27 12:11:03 - GPU Memory: 1056 MB, CPU Usage: 2.9%, RAM Usage: 19191 MB / 64254 MB
2024-09-27 12:11:08 - GPU Memory: 1056 MB, CPU Usage: 2.9%, RAM Usage: 19383 MB / 64254 MB
2024-09-27 12:11:13 - GPU Memory: 1118 MB, CPU Usage: 2.9%, RAM Usage: 19386 MB / 64254 MB
2024-09-27 12:11:18 - GPU Memory: 1108 MB, CPU Usage: 2.9%, RAM Usage: 19252 MB / 64254 MB
2024-09-27 12:11:24 - GPU Memory: 1108 MB, CPU Usage: 2.9%, RAM Usage: 19240 MB / 64254 MB
2024-09-27 12:11:29 - GPU Memory: 1109 MB, CPU Usage: 2.9%, RAM Usage: 19252 MB / 64254 MB
2024-09-27 12:11:34 - GPU Memory: 1108 MB, CPU Usage: 2.9%, RAM Usage: 19227 MB / 64254 MB
2024-09-27 12:11:39 - GPU Memory: 1107 MB, CPU Usage: 2.9%, RAM Usage: 19216 MB / 64254 MB
2024-09-27 12:11:45 - GPU Memory: 1107 MB, CPU Usage: 2.9%, RAM Usage: 19212 MB / 64254 MB
2024-09-27 12:11:50 - GPU Memory: 1154 MB, CPU Usage: 2.9%, RAM Usage: 19257 MB / 64254 MB
2024-09-27 12:11:55 - GPU Memory: 1139 MB, CPU Usage: 2.9%, RAM Usage: 19263 MB / 64254 MB
2024-09-27 12:12:00 - GPU Memory: 1158 MB, CPU Usage: 2.9%, RAM Usage: 19305 MB / 64254 MB
2024-09-27 12:12:06 - GPU Memory: 1137 MB, CPU Usage: 2.9%, RAM Usage: 19281 MB / 64254 MB
2024-09-27 12:12:11 - GPU Memory: 1095 MB, CPU Usage: 2.9%, RAM Usage: 19258 MB / 64254 MB
2024-09-27 12:12:16 - GPU Memory: 1120 MB, CPU Usage: 2.9%, RAM Usage: 19274 MB / 64254 MB
2024-09-27 12:12:21 - GPU Memory: 1110 MB, CPU Usage: 2.9%, RAM Usage: 19260 MB / 64254 MB
2024-09-27 12:12:26 - GPU Memory: 1101 MB, CPU Usage: 2.9%, RAM Usage: 19256 MB / 64254 MB
2024-09-27 12:12:32 - GPU Memory: 1101 MB, CPU Usage: 2.9%, RAM Usage: 19249 MB / 64254 MB
2024-09-27 12:12:37 - GPU Memory: 1101 MB, CPU Usage: 2.9%, RAM Usage: 19153 MB / 64254 MB
2024-09-27 12:12:42 - GPU Memory: 1116 MB, CPU Usage: 2.9%, RAM Usage: 19200 MB / 64254 MB
2024-09-27 12:12:47 - GPU Memory: 1120 MB, CPU Usage: 2.9%, RAM Usage: 19251 MB / 64254 MB
2024-09-27 12:12:53 - GPU Memory: 1102 MB, CPU Usage: 2.9%, RAM Usage: 19209 MB / 64254 MB
2024-09-27 12:12:58 - GPU Memory: 1102 MB, CPU Usage: 2.9%, RAM Usage: 19289 MB / 64254 MB
2024-09-27 12:13:03 - GPU Memory: 1103 MB, CPU Usage: 2.9%, RAM Usage: 19287 MB / 64254 MB
