1.183400000000000091e+03,2.171599999999999909e+03,1.208700000000000045e+03,1.098299999999999955e+03
8.227000000000000455e+02,2.225799999999999912e+01,1.841700000000000045e+03,1.713700000000000045e+03
-3.833500000000000227e+02,-3.127200000000000273e+02,2.516699999999999818e+03,-1.371100000000000136e+02
2.661499999999999773e+02,2.370300000000000011e+02,7.456000000000000227e+02,2.104099999999999966e+02
4.297999999999999687e+01,5.978899999999999864e+02,-1.237599999999999909e+03,-5.776299999999999955e+02
9.211000000000000227e+02,8.687899999999999636e+02,3.117800000000000182e+03,1.025599999999999909e+03
1.106099999999999909e+03,1.888099999999999909e+03,-9.326600000000000534e+01,1.783700000000000045e+03
3.581600000000000250e+02,2.778399999999999750e+02,3.966399999999999864e+02,6.151200000000000045e+02
-3.203300000000000036e-01,1.070400000000000018e+00,1.212599999999999900e+00,-1.049800000000000066e+00
1.936399999999999899e+00,2.405699999999999950e+00,1.966699999999999893e+00,1.603799999999999892e+00
-5.859999999999999654e-01,-3.534300000000000219e-01,-1.798299999999999899e-01,-1.351300000000000001e-01
